# Saturn cartridge database.
# RAM cart source: https://www.satakore.com/cartridge.php
# RAM cart source section: "Complete list of games and demos that require or are compatible with one of the external cartridges".
# RAM cart source checked: 2026-05-28.
# Backup Memory source: https://segaretro.org/Saturn_Backup_Memory
# Backup Memory source checked: 2026-05-31.
# Satakore lists 57 external-cartridge entries. This file includes the RAM-cart-relevant entries and excludes ROM-cart-only titles.
# Format: <UUID> <cart-type> # <source title/notes>
# UUID is the trimmed Saturn System ID product number at IP.BIN offset 0x20.
# Supported cart types: 1M, 4M, BACKUP.
# RAM cart selection policy: choose 4M when Satakore lists both 1M and 4M; choose 1M when Satakore marks the title 1M-only/corrupt with 4M.
# Collection SKUs with per-game RAM caveats need exact-disc validation before blacklisting.

T-5305G BACKUP # Densetsu no Ogre Battle; Sega Retro: Backup Memory.
T-5306G BACKUP # Tactics Ogre; Sega Retro: Backup Memory.
T-5704H BACKUP # Tetris Plus; Sega Retro: Backup Memory.
T-5710G BACKUP # Fantastep; Sega Retro: Backup Memory.
T-6006G BACKUP # Thunderhawk II; Sega Retro: Backup Memory.
T-6010G BACKUP # Tomb Raider; Sega Retro: Backup Memory.
T-6011H-50 BACKUP # Pinball Graffiti; Sega Retro: Backup Memory.
T-7025H BACKUP # Grid Runner; Sega Retro: Backup Memory.
T-7027H BACKUP # Black Dawn; Sega Retro: Backup Memory.
T-7601G BACKUP # Sangokushi IV; Sega Retro: Backup Memory.
T-7604H BACKUP # Pacific Theater of Operations II; Sega Retro: Backup Memory.
T-7605H BACKUP # Heir of Zendor: The Legend and The Land; Sega Retro: Backup Memory.
T-7608G BACKUP # Heir of Zendor: The Legend and The Land; Sega Retro: Backup Memory.
T-7621G BACKUP # Mahjong Taikai II Special; Sega Retro: Backup Memory.
T-7644G BACKUP # Sangokushi IV; Sega Retro: Backup Memory.
T-7903H BACKUP # World Cup Golf: Professional Edition; Sega Retro: Backup Memory.
T-7910H BACKUP # Tomb Raider; Sega Retro: Backup Memory.
T-8101H BACKUP # Myst; Sega Retro: Backup Memory.
T-8116H BACKUP # Galactic Attack; Sega Retro: Backup Memory.
T-8117H BACKUP # Dragonheart: Fire & Steel; Sega Retro: Backup Memory.
T-8120H BACKUP # NBA Jam Extreme; Sega Retro: Backup Memory.
T-8125H BACKUP # Space Jam; Sega Retro: Backup Memory.
T-8133H BACKUP # Striker '96; Sega Retro: Backup Memory.
T-8136H BACKUP # NFL Quarterback Club '97; Sega Retro: Backup Memory.
T-8138H BACKUP # Frank Thomas Big Hurt Baseball; Sega Retro: Backup Memory.
T-8139H BACKUP # Impact Racing; Sega Retro: Backup Memory.
T-8140H BACKUP # Batman Forever; Sega Retro: Backup Memory.
T-8144H BACKUP # Tunnel B1; Sega Retro: Backup Memory.
T-8150H BACKUP # All-Star Baseball 1997 Featuring Frank Thomas; Sega Retro: Backup Memory.
T-8807H BACKUP # Crimewave; Sega Retro: Backup Memory.
T-9102G BACKUP # Highway 2000; Sega Retro: Backup Memory.
T-9103G BACKUP # Highway 2000; Sega Retro: Backup Memory.
T-9504G BACKUP # Tokimeki Memorial: Forever With You; Sega Retro: Backup Memory.
T-9510G BACKUP # Policenauts; Sega Retro: Backup Memory.
T-9703H BACKUP # Midway Presents Arcade's Greatest Hits; Sega Retro: Backup Memory.
T-9706H BACKUP # Midway Presents Arcade's Greatest Hits / Midway Presents Arcade's Greatest Hits: The Atari Collection 1; Sega Retro: Backup Memory.
T-9708H BACKUP # Rampage World Tour; Sega Retro: Backup Memory.
